model,model_short,condition,condition_short,n_completed,syntactic_valid_count,syntactic_valid_rate,syntactic_valid_ci_lower,syntactic_valid_ci_upper,semantic_n_syntactically_valid,semantic_correct_count,semantic_correct_rate,semantic_correct_ci_lower,semantic_correct_ci_upper
gpt-5.4-2026-03-05,gpt,cats_in_prompt,a_cats,984,947,0.9623983739837398,0.9486019741160778,0.9725984795340221,947,797,0.8416050686378036,0.8169769703107814,0.8634729553818348
gpt-5.4-2026-03-05,gpt,json_in_prompt,b_json,985,923,0.9370558375634518,0.920125846658235,0.950590072784342,923,788,0.8537378114842904,0.8294748936345305,0.8750684711291391
gpt-5.4-2026-03-05,gpt,native_tools,c_native,985,904,0.917766497461929,0.8989439952967767,0.9333431146930503,904,722,0.7986725663716814,0.7712938731108739,0.8235236412836237
claude-sonnet-4-6,claude,cats_in_prompt,a_cats,984,955,0.9705284552845529,0.9579946013926716,0.979402783310617,955,798,0.8356020942408376,0.8107593478666869,0.8577557586748926
claude-sonnet-4-6,claude,json_in_prompt,b_json,985,954,0.9685279187817258,0.9556747356467076,0.9777408202714094,954,817,0.8563941299790356,0.8327100954653037,0.8772195006467962
claude-sonnet-4-6,claude,native_tools,c_native,984,948,0.9634146341463414,0.9497671346739331,0.9734579353578152,948,793,0.8364978902953587,0.8116064708169117,0.8586732213394532
qwen/qwen3.5-35b-a3b,qwen,cats_in_prompt,a_cats,984,958,0.9735772357723578,0.9615656683641753,0.9819055654840589,958,786,0.8204592901878914,0.7948903951648446,0.8434684470011194
qwen/qwen3.5-35b-a3b,qwen,json_in_prompt,b_json,985,977,0.9918781725888325,0.9840557357298206,0.9958789053153098,977,820,0.8393039918116684,0.8149535044765568,0.8609967156509164
qwen/qwen3.5-35b-a3b,qwen,native_tools,c_native,985,958,0.9725888324873097,0.9604117956401153,0.9810940359522649,958,811,0.8465553235908142,0.8223520372682772,0.8679904239665764
