model,model_short,comparison,metric,paired_n,both_success,a_only_success,b_only_success,both_fail,mcnemar_statistic,mcnemar_pvalue,mcnemar_variant,discordant_count,difference_a_minus_b,difference_ci_lower,difference_ci_upper,difference_ci_method,delta_non_inferiority,non_inferiority_verdict
gpt-5.4-2026-03-05,gpt,a_cats_vs_b_json,joint,984,755,42,32,155,1.0945945945945945,0.2954554327459229,continuity_corrected_chi_square,74,0.01016260162601626,-0.0069600268629342495,0.02728523011496677,Agresti–Min (2005) paired Wald SE on McNemar table,0.03,pass
claude-sonnet-4-6,claude,a_cats_vs_b_json,joint,984,766,32,51,135,3.9036144578313254,0.04818234199339229,continuity_corrected_chi_square,83,-0.019308943089430895,-0.03741525904293226,-0.0012026271359295258,Agresti–Min (2005) paired Wald SE on McNemar table,0.03,inconclusive
qwen/qwen3.5-35b-a3b,qwen,a_cats_vs_b_json,joint,984,760,26,60,138,12.662790697674419,0.00037300503570452976,continuity_corrected_chi_square,86,-0.034552845528455285,-0.05289774968272306,-0.01620794137418751,Agresti–Min (2005) paired Wald SE on McNemar table,0.03,inconclusive
